ground_truth_acuity,arrival_transport,count
1,ambulance,28
1,walk in,17
2,ambulance,169
2,walk in,30
3,walk in,236
3,ambulance,46
4,walk in,70
4,ambulance,22
5,walk in,41
5,ambulance,29
